# English<TAB>sign glosses. Toy data to exercise the pipeline, not a real corpus.
Hello, how are you?	hello how you
What is your name?	your name what
I am going home.	i go home
We are going to school tomorrow.	tomorrow we go school
She is reading a book.	she read book
They were playing yesterday.	yesterday they play
I want to drink water.	i want drink water
Do you like the food?	you like food
I need money to buy a car.	i need money buy car
Good morning.	good morning
Good night.	good night
I love my mother.	i love my mother
My father works at home.	my father work home
Where do you work?	you work where
When are you coming?	you come when
Why are you sad?	you sad why
I am sorry.	i sorry
Please come today.	please come today
I did not sleep.	i sleep not
We learn to write at school.	school we learn write
He teaches at school.	he teach school
I will see you tomorrow.	tomorrow i see you
We are meeting today.	today we meet
The house is big.	house big
The car is small.	car small
My book is new.	my book new
Your house is old.	your house old
I am eating food.	i eat food
Yes, I want to go.	yes i want go
No, I do not want to eat.	no i want eat not
They are running.	they run
I had a bad day.	i day bad
Who is coming home?	come home who
Going	go
Reading	read
Playing	play
Running	run
Eating	eat
Teaching	teach
Learning	learn
Sleeping	sleep
Coming	come
Working	work
Mom	mother
Dad	father
